patient,joint,mae_x,mae_y,rmse_x,rmse_y,corr_x,corr_y
TOLFB16,Left_Wrist,0.1692795,0.10193716666666668,0.21807216666666665,0.15214733333333333,0.7950846666666666,0.9166425
TOLFB16,Right_Elbow,0.10620099999999999,0.06396716666666667,0.14265383333333334,0.08315283333333333,0.6908265,0.909338
TOLFB16,Right_Shoulder,0.03850083333333334,0.007524166666666668,0.0469895,0.009254,0.5480323333333333,0.271183
TOLFB16,Right_Wrist,0.17879566666666666,0.1076545,0.23812516666666664,0.14509183333333334,0.7522455,0.9271863333333333
TOLFB17,Left_Elbow,0.17553816666666666,0.08346116666666666,0.21378833333333333,0.12429616666666667,0.5905211666666667,0.6905746666666667
TOLFB17,Left_Shoulder,0.03192916666666667,0.017366999999999997,0.04817933333333333,0.020938,0.4433403333333333,0.08549766666666665
TOLFB17,Left_Wrist,0.200577,0.13915366666666668,0.256751,0.2207835,0.7092406666666666,0.841535
TOLFB17,Right_Elbow,0.16015516666666665,0.10802416666666666,0.19390566666666667,0.144823,0.538792,0.7672758333333333
TOLFB17,Right_Shoulder,0.0854775,0.0190705,0.097732,0.022716833333333335,0.5670178333333333,0.08736433333333334
TOLFB17,Right_Wrist,0.2927393333333333,0.14689133333333335,0.3505228333333334,0.22098950000000003,0.5722886666666667,0.8466293333333333
TOLFB18,Left_Elbow,0.08848116666666667,0.05365916666666667,0.11070766666666666,0.07158783333333334,0.6901663333333333,0.7260608333333334
TOLFB18,Left_Shoulder,0.0247135,0.01591266666666667,0.03164983333333333,0.018100666666666664,0.6099678333333333,0.0329985
TOLFB18,Left_Wrist,0.16879316666666666,0.1123305,0.21021783333333333,0.13624366666666668,0.7437648333333332,0.8393421666666666
TOLFB18,Right_Elbow,0.13768183333333334,0.08662766666666666,0.16512066666666667,0.10038849999999999,0.5786068333333333,0.6416091666666667
TOLFB18,Right_Shoulder,0.09160716666666667,0.018856333333333333,0.09743433333333333,0.021288333333333336,0.5410506666666667,0.0036141666666666635
TOLFB18,Right_Wrist,0.20545499999999997,0.12538266666666667,0.2529403333333333,0.15034616666666667,0.7138748333333332,0.8118343333333334
TOLFB19,Left_Elbow,0.19725766666666666,0.10644416666666667,0.23271683333333334,0.136057,0.49540483333333335,0.5005343333333333
TOLFB19,Left_Shoulder,0.04414766666666667,0.008936000000000001,0.05554933333333334,0.010708666666666667,0.26579616666666667,0.04248333333333334
TOLFB19,Left_Wrist,0.3145358333333333,0.168138,0.38395566666666664,0.2344683333333333,0.47556,0.7136043333333334
TOLFB19,Right_Elbow,0.165486,0.10529916666666667,0.20312699999999997,0.14111966666666667,0.5121483333333333,0.7515321666666667
TOLFB19,Right_Shoulder,0.0625545,0.009000166666666667,0.07225483333333334,0.010807166666666666,0.431532,0.03756716666666667
TOLFB19,Right_Wrist,0.3042088333333333,0.14894933333333335,0.37244150000000004,0.24122866666666667,0.48398650000000004,0.782619
TOLFB20,Left_Elbow,0.1337475,0.08326983333333333,0.16906183333333336,0.11683500000000001,0.37061900000000003,0.6421225
TOLFB20,Left_Shoulder,0.05044783333333333,0.0098795,0.06617733333333332,0.012189666666666668,0.4289253333333333,0.07104516666666667
TOLFB20,Left_Wrist,0.1934745,0.15098983333333335,0.27457366666666666,0.23515149999999999,0.6692551666666667,0.6151546666666666
TOLFB20,Right_Elbow,0.14562283333333334,0.0938985,0.18531883333333332,0.12841633333333333,0.563797,0.5912555
TOLFB20,Right_Shoulder,0.05176133333333333,0.009653,0.06349783333333332,0.011897,0.3469263333333333,0.06320466666666667
TOLFB20,Right_Wrist,0.20519183333333335,0.172675,0.296185,0.26435433333333336,0.6710778333333334,0.5785241666666666
TOLFB21,Left_Elbow,0.1424,0.08687883333333334,0.17672600000000002,0.11960183333333334,0.5231931666666666,0.7562678333333334
TOLFB21,Left_Shoulder,0.04941183333333333,0.011904333333333334,0.0696875,0.014269166666666666,0.4072711666666667,0.04100616666666668
TOLFB21,Left_Wrist,0.198966,0.13511183333333335,0.2799878333333334,0.21888,0.6385683333333333,0.7207945000000001
TOLFB21,Right_Elbow,0.14301300000000003,0.09487116666666666,0.1862135,0.13061283333333332,0.607445,0.6016454999999999
TOLFB21,Right_Shoulder,0.056678000000000006,0.011828666666666666,0.07665683333333333,0.014166499999999999,0.34775116666666667,0.025309166666666664
TOLFB21,Right_Wrist,0.22193266666666667,0.15508233333333332,0.31234316666666667,0.24868283333333333,0.6217655,0.6782325
TOLFB22,Left_Elbow,0.1596695,0.09203533333333334,0.21488733333333335,0.1542635,0.44692666666666664,0.6548014999999999
TOLFB22,Left_Shoulder,0.06630433333333334,0.010001333333333333,0.10732016666666666,0.012018500000000001,0.19596899999999998,0.11309516666666668
TOLFB22,Left_Wrist,0.20825016666666665,0.16472066666666665,0.2863533333333333,0.2881588333333333,0.5649345,0.6880809999999999
TOLFB22,Right_Elbow,0.18643849999999998,0.10764766666666666,0.2532503333333333,0.16703883333333333,0.39233199999999996,0.648706
TOLFB22,Right_Shoulder,0.06556783333333334,0.009943500000000001,0.1078815,0.011904499999999998,0.2638766666666667,0.12984033333333334
TOLFB22,Right_Wrist,0.269669,0.1620285,0.35184166666666666,0.30084716666666667,0.4625626666666667,0.636749
TOLFB23,Left_Elbow,0.11421883333333334,0.08004416666666667,0.15144533333333335,0.12061933333333334,0.6947986666666667,0.7632485
TOLFB23,Left_Shoulder,0.03004983333333333,0.0124265,0.0353855,0.015049166666666667,0.47087166666666663,0.07763766666666667
TOLFB23,Left_Wrist,0.20856116666666666,0.1427395,0.301887,0.22272566666666668,0.6184246666666667,0.8183968333333334
TOLFB23,Right_Elbow,0.11408183333333333,0.083947,0.15222733333333333,0.12274750000000001,0.7341098333333332,0.818282
TOLFB23,Right_Shoulder,0.04458366666666667,0.011541333333333334,0.050166833333333334,0.014001166666666667,0.496875,0.09661533333333333
TOLFB23,Right_Wrist,0.23859249999999999,0.142517,0.3273945,0.23222800000000002,0.5987583333333334,0.841705
TOLFB24,Left_Elbow,0.15507733333333332,0.0548445,0.18259916666666665,0.07277816666666667,0.6789744999999999,0.8711688333333334
